state,elec_ind,year,electiondate,party,voteshare,voteshare_l1,pm,gov,new_party,nat_trend,fed_trend_months
prague,prague_2006-10-20,2006,2006-10-20,ods,0.544285,NA,1,1,0,0.4832,0.4832
prague,prague_2006-10-20,2006,2006-10-20,cssd,0.158777,NA,0,0,0,0,0
prague,prague_2006-10-20,2006,2006-10-20,zeleni,0.088048,NA,0,0,0,0.0919,0.0919
prague,prague_2006-10-20,2006,2006-10-20,kscm,0.079312,NA,0,0,0,0.079,0.079
prague,prague_2006-10-20,2006,2006-10-20,snk_ed,0.053887,NA,0,0,0,0.0356,0.0356
prague,prague_2006-10-20,2006,2006-10-20,kdu_csl,0.032599,NA,0,0,0,0.0484,0.0484
prague,prague_2006-10-20,2006,2006-10-20,vv,0.005980999999999999,NA,0,0,1,0,0
prague,prague_2010-10-15,2010,2010-10-15,top09,0.302595,0,0,0,1,0.2727,0.2727
prague,prague_2010-10-15,2010,2010-10-15,ods,0.23099699999999998,0.544285,1,1,0,0.24789999999999998,0.24789999999999998
prague,prague_2010-10-15,2010,2010-10-15,cssd,0.17848299999999998,0.158777,0,0,0,0,0
prague,prague_2010-10-15,2010,2010-10-15,kscm,0.068179,0.079312,0,0,0,0.0653,0.0653
prague,prague_2010-10-15,2010,2010-10-15,zeleni,0.058998999999999996,0.088048,0,0,0,0.0478,0.0478
prague,prague_2010-10-15,2010,2010-10-15,vv,0.056619,0.005980999999999999,0,0,0,0.10310000000000001,0.10310000000000001
prague,prague_2010-10-15,2010,2010-10-15,kdu_csl,0.018894,0.032599,0,0,0,0.0217,0.0217
prague,prague_2010-10-15,2010,2010-10-15,pirati,0.009545,0,0,0,1,0.0075,0.0075
prague,prague_2014-10-10,2014,2014-10-10,ano,0.22479700000000002,0,0,0,1,0.1646,0.1646
prague,prague_2014-10-10,2014,2014-10-10,top09,0.20071000000000003,0.302595,1,1,0,0.2303,0.2303
prague,prague_2014-10-10,2014,2014-10-10,trojkoalice,0.112174,0.0779,0,0,0,0,0
prague,prague_2014-10-10,2014,2014-10-10,ods,0.109749,0.23099699999999998,0,0,0,0.1199,0.1199
prague,prague_2014-10-10,2014,2014-10-10,cssd,0.104306,0.17848299999999998,0,0,0,0,0
prague,prague_2014-10-10,2014,2014-10-10,kscm,0.059134,0.068179,0,0,0,0.0852,0.0852
prague,prague_2014-10-10,2014,2014-10-10,pirati,0.053147,0.009545,0,0,0,0.0363,0.0363
prague,prague_2018-10-05,2018,2018-10-05,ods,0.178689,0.109749,0,0,0,0.16219999999999998,0.16219999999999998
prague,prague_2018-10-05,2018,2018-10-05,pirati,0.17072199999999998,0.053147,0,0,0,0.1759,0.1759
prague,prague_2018-10-05,2018,2018-10-05,praha_sobe,0.16565200000000002,0,0,0,1,0,0
prague,prague_2018-10-05,2018,2018-10-05,spojene_sily,0.16287,0.2007,0,0,0,0,0
prague,prague_2018-10-05,2018,2018-10-05,ano,0.153671,0.22479700000000002,1,1,0,0.20350000000000001,0.20350000000000001
prague,prague_2018-10-05,2018,2018-10-05,spd,0.035354000000000003,0,0,0,1,0.0581,0.0581
prague,prague_2018-10-05,2018,2018-10-05,kscm,0.032638,0.059134,0,0,0,0.046,0.046
prague,prague_2018-10-05,2018,2018-10-05,cssd,0.028723000000000002,0.104306,0,1,0,0,0
prague,prague_2018-10-05,2018,2018-10-05,zeleni,0.018432,0,0,1,0,0.024,0.024
prague,prague_2022-09-23,2022,2022-09-23,spolu,0.24720199999999998,0.28458500000000003,0,0,0,0.40020000000000006,0.40020000000000006
prague,prague_2022-09-23,2022,2022-09-23,ano,0.193392,0.153671,0,0,0,0.1746,0.1746
prague,prague_2022-09-23,2022,2022-09-23,pirati,0.177298,0.17072199999999998,1,1,0,0.13584,0.13584
prague,prague_2022-09-23,2022,2022-09-23,praha_sobe,0.147284,0.16565200000000002,0,1,0,0,0
prague,prague_2022-09-23,2022,2022-09-23,stan,0.077687,0.057014999999999996,0,1,0,0.09056000000000002,0.09056000000000002
prague,prague_2022-09-23,2022,2022-09-23,spd,0.051685,0.035354000000000003,0,0,0,0.045899999999999996,0.045899999999999996
prague,prague_2022-09-23,2022,2022-09-23,motoriste,0.022912,0,0,0,1,0,0
prague,prague_2022-09-23,2022,2022-09-23,solidarita_cssd_zeleni,0.020187,0,0,0,1,0,0
prague,prague_2022-09-23,2022,2022-09-23,kscm,0.014744,0.032638,0,0,0,0.021400000000000002,0.021400000000000002
prague,prague_2022-09-23,2022,2022-09-23,svobodni,0.011937999999999999,0,0,0,0,0.0256,0.0256
prague,prague_2022-09-23,2022,2022-09-23,prisaha,0.008289,0,0,0,1,0.0341,0.0341
