party,date,pollster,poll_pct,n
spolu,2026-08-01,Ipsos,23.4,1000
stan,2026-08-01,Ipsos,17.9,1000
ano,2026-08-01,Ipsos,17.6,1000
pirati,2026-08-01,Ipsos,11.9,1000
praha_sobe,2026-08-01,Ipsos,11.9,1000
motoriste,2026-08-01,Ipsos,4,1000
spd,2026-08-01,Ipsos,4.5,1000
spojena_levice,2026-08-01,Ipsos,2.2,1000
spolu,2026-09-01,Median,13.9,731
stan,2026-09-01,Median,22.6,731
ano,2026-09-01,Median,23.3,731
pirati,2026-09-01,Median,10.8,731
praha_sobe,2026-09-01,Median,12.9,731
motoriste,2026-09-01,Median,5,731
spd,2026-09-01,Median,5.4,731
spojena_levice,2026-09-01,Median,2.4,731
spolu,2026-09-15,SC&C,20,1009
stan,2026-09-15,SC&C,22,1009
ano,2026-09-15,SC&C,20,1009
pirati,2026-09-15,SC&C,12,1009
praha_sobe,2026-09-15,SC&C,9,1009
motoriste,2026-09-15,SC&C,4,1009
spd,2026-09-15,SC&C,5.4,1009
spojena_levice,2026-09-15,SC&C,2,1009
