Datum,Průzkum,ANO,STAN,ODS,Pir,SPD,Moto,KDU,TOP,Naše,KSČM,S!,Pří,Zel,Svob,PRO,Tri,date,Spojena_Levice
3. 10. 25,Volby,34.5,11.2,15.7,8.3,6.1,6.8,3.3,4.4,NA,2.7,0,1.1,0.7,0.5,0.9,0.2,2025-10-03,2.7
4. 1. 26,STEM,34.6,12.6,14.1,8.4,6.8,4.9,3.4,4.3,NA,1.3,1.7,1.3,1.6,NA,1.1,NA,2026-01-04,3
21. 1. 26,Kantar CZ,34.5,14,16,9.5,6.5,5,3,4.5,NA,NA,NA,NA,NA,NA,NA,NA,2026-01-21,NA
15. 2. 26,NMS,32.6,14.6,14.7,7.2,6.5,4.7,2.6,2.4,4.7,1.7,NA,1.4,NA,1.4,1.6,NA,2026-02-15,NA
18. 2. 26,Kantar CZ,34.5,15.5,14.5,9,6.5,5,3,2,3.5,NA,NA,NA,NA,NA,NA,NA,2026-02-18,NA
4. 3. 26,STEM,34.2,13.3,12.2,8.1,7.1,4.8,2.4,3.1,3.7,1.3,1.2,1.1,2.5,NA,1,NA,2026-03-04,2.5
7. 3. 26,NMS,31.5,13.6,14.1,8.3,7.8,7.1,3,2.6,2.6,2.5,NA,NA,NA,NA,NA,NA,2026-03-07,NA
28. 3. 26,Kantar CZ,34,15.5,15,9.5,6.5,5,3,2.5,3,NA,NA,NA,NA,NA,NA,NA,2026-03-28,NA
4. 4. 26,NMS,32.7,13.7,13.9,8,7.4,4.4,2.5,3.1,4.1,2.8,NA,NA,NA,NA,NA,NA,2026-04-04,NA
21. 4. 26,Kantar CZ,32,16,15,9.5,6.5,5,3.5,2,3,NA,NA,NA,NA,NA,NA,NA,2026-04-21,NA
2. 5. 26,NMS,32.5,14.5,14.8,6.7,8.7,4.8,2.7,2.5,2.8,2.3,NA,NA,NA,NA,NA,NA,2026-05-02,NA
12. 5. 26,Ipsos,31.5,14.5,14.9,8.3,6.2,4.4,3.4,3.5,3,NA,1.9,1.1,1.1,1.4,1,NA,2026-05-12,NA
16. 5. 26,Median,35.5,14.5,12,8.5,6.5,3.5,2.5,3,4.5,3,NA,NA,NA,NA,NA,NA,2026-05-16,NA
27. 5. 26,Kantar CZ,31.5,15.5,15.5,9.5,6.5,5,4,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,2026-05-27,NA
5. 6. 26,NMS,31.6,14.8,13.9,7.4,7.5,5.8,2.4,3,3.9,2.4,NA,NA,NA,NA,NA,NA,2026-06-05,NA
15. 6. 26,STEM,32.2,13.5,13,7.6,7.9,5.3,2.4,3.4,3.2,1.4,1.1,1.2,1.8,NA,NA,NA,2026-06-15,2.5
15. 6. 26,Median,34,12.5,13,7,6.5,5,3.5,3,4,4,NA,2,NA,NA,NA,NA,2026-06-15,NA
12. 8. 26,Kantar CZ,30.5,17,15.5,8.5,6.5,5,3.5,2,2.5,NA,NA,NA,NA,NA,NA,NA,2026-08-12,NA
30. 8. 26,NMS,31,18.1,12.2,8.9,7.4,4.4,2.8,3.2,2.8,NA,NA,NA,NA,NA,NA,NA,2026-08-30,NA
4. 9. 26,STEM,31.1,14.8,12.8,7.3,7.8,4.9,2.6,3.3,2.4,2.1,1.5,1.2,1.4,1.1,1.1,NA,2026-09-04,3.6
10. 9. 26,Ipsos,31.4,16.6,14,7.9,7.1,4.5,3.5,2.9,2.5,1.6,1.8,NA,1.1,1.2,1.1,NA,2026-09-10,3.4000000000000004
